Panini_id,sofifa_id,player_url,short_name,long_name,player_positions,name,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,va al mundial,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
88,230385,https://sofifa.com/player/230385/alberto-marcelo-dutra-cirino/220002,Albertinho Dutra,Alberto Marcelo Dutra Cirino,"LW, LM",Alberto Marcelo Dutra Cirino,78,78,14000000,45000,29,2/29/1992,175,72,598,S蹋o Paulo,Campeonato Brasileiro S泰rie A,1,LS,10,,7/8/2021,2024,54,Brazil,1370,SUB,15,Left,3,4,1,High/Low,Normal (170-185),No,si,26600000,,,81,72,81,80,23,50,86,73,20,85,64,80,72,81,84,79,82,80,88,65,86,68,57,75,46,72,26,21,73,69,76,71,28,20,24,6,12,10,7,9,,67+2,67+2,67+2,78,74,74,74,78,77+1,77+1,77+1,78,71+2,71+2,71+2,78,58+2,52+2,52+2,52+2,58+2,51+2,35+2,35+2,35+2,51+2,15+2,https://cdn.sofifa.net/players/230/385/22_120.png,https://cdn.sofifa.net/teams/598/60.png,https://cdn.sofifa.net/flags/br.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png
89,230406,https://sofifa.com/player/230406/g-pierre-paiva-souza/220002,Guilson Paiva,G. Pierre Paiva Souza,"RM, RW",G Pierre Paiva Souza,78,78,15500000,38000,25,2/29/1996,173,72,1043,Flamengo,Campeonato Brasileiro S泰rie A,1,RAM,17,,7/7/2021,2024,54,Brazil,1370,SUB,17,Right,4,3,1,Medium/Medium,Lean (170-185),No,si,27900000,,,83,69,75,78,42,68,75,69,34,78,61,81,67,72,72,77,90,78,73,77,77,77,50,69,72,68,63,40,73,75,44,62,36,49,48,7,11,10,16,7,,71+2,71+2,71+2,77,76,76,76,77,76+2,76+2,76+2,77+1,72+2,72+2,72+2,77+1,64+2,62+2,62+2,62+2,64+2,60+2,52+2,52+2,52+2,60+2,18+2,https://cdn.sofifa.net/players/230/406/22_120.png,https://cdn.sofifa.net/teams/1043/60.png,https://cdn.sofifa.net/flags/br.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png
90,230426,https://sofifa.com/player/230426/arturo-adolfo-inalcio-dutra/220002,Arturo In塘lcio,Arturo Adolfo In塘lcio Dutra,"CM, CAM",Arturo Adolfo Inalcio Dutra,78,78,16500000,30000,21,2/29/2000,170,60,1043,Flamengo,Campeonato Brasileiro S泰rie A,1,CAM,21,,7/7/2021,2024,54,Brazil,1370,SUB,21,Right,3,2,1,Medium/Medium,Normal (170-),No,si,29700000,#Acrobat,Long Passer (AI),83,72,75,78,52,48,63,70,46,85,68,78,54,48,83,80,80,86,90,69,74,80,55,74,35,75,45,71,74,77,45,60,24,66,62,10,13,14,9,11,,71+2,71+2,71+2,77,76,76,76,77,78,78,78,77+1,78,78,78,77+1,69+2,67+2,67+2,67+2,69+2,67+2,56+2,56+2,56+2,67+2,17+2,https://cdn.sofifa.net/players/230/426/22_120.png,https://cdn.sofifa.net/teams/1043/60.png,https://cdn.sofifa.net/flags/br.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png
91,230460,https://sofifa.com/player/230460/jonathan-prazeres-conradi/220002,Prazeracinho,Jonathan Prazeres Conradi,LW,Jonathan Prazeres Conradi,78,78,16500000,33000,21,2/29/2000,172,70,1043,Flamengo,Campeonato Brasileiro S泰rie A,1,LAM,14,,7/7/2021,2024,54,Brazil,1370,SUB,14,Left,4,4,1,High/Low,Normal (170-185),No,si,29700000,,,78,69,77,79,45,54,82,74,49,79,65,82,69,64,75,77,81,75,79,78,78,60,69,58,49,70,58,53,77,75,46,69,50,38,30,14,8,6,6,9,,71+2,71+2,71+2,78,76,76,76,78,77+1,77+1,77+1,77+1,73+2,73+2,73+2,77+1,63+2,61+2,61+2,61+2,63+2,59+2,52+2,52+2,52+2,59+2,17+2,https://cdn.sofifa.net/players/230/460/22_120.png,https://cdn.sofifa.net/teams/1043/60.png,https://cdn.sofifa.net/flags/br.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png
92,230384,https://sofifa.com/player/230384/nuno-ailton-padrenda-mendes/220002,Nuno Padrenda,Nuno Ailton Padrenda Mendes,"ST, CAM",Nuno Ailton Padrenda Mendes,77,77,12000000,37000,25,2/29/1996,180,75,1035,Clube Atl泰tico Mineiro,Campeonato Brasileiro S泰rie A,1,LS,30,,8/13/2021,2024,54,Brazil,1370,LW,10,Right,4,2,1,Medium/Medium,Normal (170-185),No,si,21600000,,Dives Into Tackles (AI),82,73,77,82,52,70,67,72,64,85,63,84,70,67,83,85,85,79,75,80,67,75,68,75,74,79,54,53,82,75,55,78,50,52,42,8,9,12,8,8,,77,77,77,80-3,80-3,80-3,80-3,80-3,81-4,81-4,81-4,80-3,78-1,78-1,78-1,80-3,67+2,68+2,68+2,68+2,67+2,65+2,60+2,60+2,60+2,65+2,16+2,https://cdn.sofifa.net/players/230/384/22_120.png,https://cdn.sofifa.net/teams/1035/60.png,https://cdn.sofifa.net/flags/br.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png
93,197061,https://sofifa.com/player/197061/joel-matip/220002,J. Matip,Jo糖l Andre Job Matip,CB,Joel Matip,83,83,30500000,130000,29,8/8/1991,194,90,9,Liverpool,English Premier League,1,RCB,32,,7/1/2016,2024,103,Cameroon,,RCB,1,Right,2,2,2,Medium/Medium,Lean (185+),Yes,si,56400000,"#Aerial Threat, #Tactician迨",Injury Prone,58,46,68,68,85,78,54,36,84,77,50,69,63,22,74,72,50,65,51,84,42,66,75,69,81,48,84,86,48,72,42,80,86,86,81,11,15,10,7,10,,62+2,62+2,62+2,62,64,64,64,62,66+2,66+2,66+2,65+2,72+2,72+2,72+2,65+2,74+2,80+2,80+2,80+2,74+2,76+2,83,83,83,76+2,19+2,https://cdn.sofifa.net/players/197/061/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/cm.png
94,209973,https://sofifa.com/player/209973/jean-pierre-nsame/220002,J. Nsame,Jean-Pierre Nsame,ST,Jean Pierre Nsame,78,78,14500000,23000,28,5/1/1993,188,88,900,BSC Young Boys,Swiss Super League,1,SUB,18,,7/21/2017,2023,103,Cameroon,,SUB,2,Right,4,3,2,High/Medium,Normal (185+),No,si,21800000,#Strength,Power Header,79,77,55,73,27,80,39,80,79,68,79,73,56,43,46,75,80,79,72,76,64,79,83,77,87,70,66,18,80,58,74,74,28,19,15,13,12,5,15,5,,78,78,78,71,75,75,75,71,71+2,71+2,71+2,69+2,62+2,62+2,62+2,69+2,49+2,49+2,49+2,49+2,49+2,47+2,46+2,46+2,46+2,47+2,18+2,https://cdn.sofifa.net/players/209/973/22_120.png,https://cdn.sofifa.net/teams/900/60.png,https://cdn.sofifa.net/flags/ch.png,,https://cdn.sofifa.net/flags/cm.png
95,224069,https://sofifa.com/player/224069/karl-toko-ekambi/220002,K. Toko Ekambi,Karl Brillant Toko Ekambi,"LW, ST",Karl Toko Ekambi,78,78,14000000,68000,28,9/14/1992,185,74,66,Olympique Lyonnais,French Ligue 1,1,SUB,7,,6/8/2020,2024,103,Cameroon,,SUB,3,Right,4,3,2,High/Low,Lean (185+),Yes,si,26600000,,Speed Dribbler (AI),85,78,71,77,25,70,73,79,74,74,75,77,67,63,61,76,83,87,78,79,73,81,71,76,76,73,48,21,81,73,72,76,23,14,18,10,12,12,8,14,,78,78,78,78,78,78,78,78,76+2,76+2,76+2,77+1,68+2,68+2,68+2,77+1,55+2,50+2,50+2,50+2,55+2,51+2,43+2,43+2,43+2,51+2,19+2,https://cdn.sofifa.net/players/224/069/22_120.png,https://cdn.sofifa.net/teams/66/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
96,199069,https://sofifa.com/player/199069/vincent-aboubakar/220002,V. Aboubakar,Vincent Pat泰 Aboubakar,ST,Vincent Aboubakar,77,77,10500000,44000,29,1/22/1992,184,82,112139,Al Nassr,Saudi Abdul L. Jameel League,1,SUB,26,,6/26/2021,2024,103,Cameroon,,SUB,4,Right,4,4,2,High/Medium,Stocky (170-185),Yes,si,17900000,,"Injury Prone, Finesse Shot, Flair",75,75,71,78,36,80,63,75,75,72,76,80,80,67,68,80,75,75,72,74,63,77,75,71,86,72,76,33,77,76,74,82,44,23,19,8,10,9,7,8,,77,77,77,75,76,76,76,75,76+1,76+1,76+1,74+2,70+2,70+2,70+2,74+2,56+2,57+2,57+2,57+2,56+2,53+2,52+2,52+2,52+2,53+2,16+2,https://cdn.sofifa.net/players/199/069/22_120.png,https://cdn.sofifa.net/teams/112139/60.png,https://cdn.sofifa.net/flags/sa.png,,https://cdn.sofifa.net/flags/cm.png
97,183569,https://sofifa.com/player/183569/eric-maxim-choupo-moting/220002,E. Choupo-Moting,Jean-Eric Maxim Choupo-Moting,"ST, LW",Eric Maxim Choupo Moting,76,76,6000000,63000,32,3/23/1989,191,90,21,FC Bayern M�nchen,German 1. Bundesliga,1,SUB,13,,10/5/2020,2023,103,Cameroon,,SUB,5,Right,4,3,2,High/Medium,Normal (185+),Yes,si,9900000,,"Flair, Team Player, Technical Dribbler (AI)",71,73,68,78,38,73,65,74,75,75,74,81,74,44,63,78,69,73,73,75,65,78,70,72,80,64,57,40,76,67,68,75,31,36,20,9,9,9,16,6,,76,76,76,74,75,75,75,74,74+2,74+2,74+2,73+2,69+2,69+2,69+2,73+2,57+2,57+2,57+2,57+2,57+2,54+2,51+2,51+2,51+2,54+2,17+2,https://cdn.sofifa.net/players/183/569/22_120.png,https://cdn.sofifa.net/teams/21/60.png,https://cdn.sofifa.net/flags/de.png,,https://cdn.sofifa.net/flags/cm.png
98,227236,https://sofifa.com/player/227236/andre-franck-zambo-anguissa/220002,A. Zambo Anguissa,Andr泰-Franck Zambo Anguissa,"CM, CDM",Andre Franck Zambo Anguissa,76,80,10500000,49000,25,11/16/1995,184,78,48,Napoli,Italian Serie A,1,LCM,29,Fulham,,2022,103,Cameroon,,LCM,6,Right,3,3,1,Medium/Low,Lean (170-185),Yes,si,,,"Flair, Technical Dribbler (AI)",77,64,70,80,74,82,58,58,73,78,50,84,59,46,73,78,76,78,77,74,78,75,76,79,84,66,84,78,73,74,62,79,70,79,68,11,11,9,8,11,,72+2,72+2,72+2,74,74,74,74,74,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,74+2,77+2,77+2,77+2,74+2,74+2,76+2,76+2,76+2,74+2,17+2,https://cdn.sofifa.net/players/227/236/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/cm.png
99,192667,https://sofifa.com/player/192667/allan-romeo-nyom/220002,A. Nyom,Allan-Rom泰o Nyom,"RM, LB, RB",Allan Romeo Nyom,75,75,3500000,25000,33,5/10/1988,189,80,1860,Getafe CF,Spain Primera Division,1,SUB,4,,7/24/2019,2022,103,Cameroon,,SUB,7,Right,3,3,2,Medium/Medium,Lean (185+),Yes,si,7400000,,Solid Player,79,59,73,69,74,84,78,52,74,75,44,74,71,30,73,73,77,81,49,71,40,74,78,79,86,66,86,73,75,74,37,67,72,76,74,12,8,9,9,14,,70+2,70+2,70+2,72,72,72,72,72,71+2,71+2,71+2,74+1,73+2,73+2,73+2,74+1,75,75,75,75,75,75,76-1,76-1,76-1,75,17+2,https://cdn.sofifa.net/players/192/667/22_120.png,https://cdn.sofifa.net/teams/1860/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/cm.png
100,203736,https://sofifa.com/player/203736/stephane-bahoken/220002,S. Bahoken,St泰phane Bahoken,ST,Stephane Bahoken,75,75,5500000,25000,29,5/28/1992,185,88,1530,Angers SCO,French Ligue 1,1,SUB,19,,7/1/2018,2022,103,Cameroon,,SUB,8,Right,3,3,2,Medium/Low,Stocky (185+),No,si,11000000,,Injury Prone,77,74,57,73,24,73,61,78,74,68,59,73,47,43,39,74,76,78,74,70,72,76,72,72,81,71,54,23,78,55,61,75,12,23,15,6,14,15,10,16,,75,75,75,72,73,73,73,72,69+2,69+2,69+2,69+2,61+2,61+2,61+2,69+2,51+2,46+2,46+2,46+2,51+2,47+2,43+2,43+2,43+2,47+2,18+2,https://cdn.sofifa.net/players/203/736/22_120.png,https://cdn.sofifa.net/teams/1530/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
101,228732,https://sofifa.com/player/228732/harold-moukoudi/220002,H. Moukoudi,Harold Moukoudi,CB,Harold Moukoudi,75,80,7500000,23000,23,11/27/1997,191,74,1819,AS Saint-啼tienne,French Ligue 1,1,LCB,2,,7/1/2019,2023,103,Cameroon,,LCB,9,Right,3,2,1,Medium/Medium,Stocky (185+),No,si,15600000,#Strength,Power Header,53,32,51,49,75,80,23,27,76,70,27,40,30,29,60,61,49,56,39,72,36,45,56,71,90,27,74,74,39,50,38,70,75,77,73,12,14,12,15,9,,51+2,51+2,51+2,47,50,50,50,47,52+2,52+2,52+2,51+2,59+2,59+2,59+2,51+2,63+2,71+2,71+2,71+2,63+2,66+2,75+2,75+2,75+2,66+2,19+2,https://cdn.sofifa.net/players/228/732/22_120.png,https://cdn.sofifa.net/teams/1819/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
102,234789,https://sofifa.com/player/234789/yan-brice-eteki/220002,Y. Eteki,Yan Brice Eteki,"CDM, CM",Yan Brice Eteki,75,83,12000000,17000,23,8/26/1997,182,76,110832,Granada CF,Spain Primera Division,1,SUB,8,,7/18/2019,2022,103,Cameroon,,SUB,10,Right,3,2,1,Medium/High,Normal (170-185),No,si,27600000,,Solid Player,63,55,66,69,70,76,51,50,44,76,40,64,48,42,75,75,66,60,72,66,74,68,80,73,77,58,75,74,55,68,52,72,69,76,75,11,11,7,6,12,,60+2,60+2,60+2,64,64,64,64,64,67+2,67+2,67+2,65+2,70+2,70+2,70+2,65+2,69+2,74+2,74+2,74+2,69+2,69+2,71+2,71+2,71+2,69+2,16+2,https://cdn.sofifa.net/players/234/789/22_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/cm.png
103,237626,https://sofifa.com/player/237626/yvan-neyou/220002,Y. Neyou,Yvan Neyou Noupa,"CDM, CM, CAM",Yvan Neyou,75,80,8000000,23000,24,1/3/1997,180,63,1819,AS Saint-啼tienne,French Ligue 1,1,LDM,19,,11/18/2020,2024,103,Cameroon,,LDM,11,Right,3,2,1,Medium/Medium,Lean (170-185),No,si,16600000,,,65,60,67,76,73,67,52,59,63,76,47,78,54,45,70,78,63,67,68,75,68,64,70,72,63,58,69,75,68,75,67,76,73,75,69,15,7,10,8,14,,67+2,67+2,67+2,69,71,71,71,69,72+2,72+2,72+2,70+2,74+2,74+2,74+2,70+2,71+2,74+2,74+2,74+2,71+2,70+2,71+2,71+2,71+2,70+2,18+2,https://cdn.sofifa.net/players/237/626/22_120.png,https://cdn.sofifa.net/teams/1819/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
104,218540,https://sofifa.com/player/218540/ambroise-oyongo/220002,A. Oyongo,Ambroise Oyongo Bitolo,LB,Ambroise Oyongo,74,74,3600000,20000,30,6/22/1991,176,70,70,Montpellier H泰rault SC,French Ligue 1,1,RES,8,,1/2/2018,2022,103,Cameroon,,RES,12,Left,2,3,1,High/Medium,Stocky (170-185),No,si,7200000,,"Long Throw-in, Speed Dribbler (AI)",85,59,68,73,66,76,69,54,42,69,45,73,69,64,64,70,84,86,85,72,75,68,72,87,71,62,74,66,68,68,59,70,68,71,70,13,11,9,8,8,,65+2,65+2,65+2,71,69,69,69,71,70+2,70+2,70+2,72+2,69+2,69+2,69+2,72+2,73+1,70+2,70+2,70+2,73+1,72+2,67+2,67+2,67+2,72+2,17+2,https://cdn.sofifa.net/players/218/540/22_120.png,https://cdn.sofifa.net/teams/70/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
105,235996,https://sofifa.com/player/235996/nicolas-moumi-ngamaleu/220002,N. Moumi Ngamaleu,Nicolas Brice Moumi Ngamaleu,"LM, RM",Nicolas Moumi Ngamaleu,74,74,4600000,16000,26,7/9/1994,181,74,900,BSC Young Boys,Swiss Super League,1,LM,13,,8/26/2017,2023,103,Cameroon,,LM,13,Right,3,3,1,Medium/Medium,Normal (170-185),No,si,6900000,#Speedster,Outside Foot Shot,91,70,65,75,34,74,65,73,68,69,68,75,63,48,62,75,90,92,81,72,75,73,75,79,75,65,63,32,69,65,63,65,33,27,28,7,15,10,12,9,,73+1,73+1,73+1,74,73,73,73,74,72+2,72+2,72+2,73+1,66+2,66+2,66+2,73+1,58+2,54+2,54+2,54+2,58+2,55+2,49+2,49+2,49+2,55+2,17+2,https://cdn.sofifa.net/players/235/996/22_120.png,https://cdn.sofifa.net/teams/900/60.png,https://cdn.sofifa.net/flags/ch.png,,https://cdn.sofifa.net/flags/cm.png
106,241130,https://sofifa.com/player/241130/ignatius-ganago/220002,I. Ganago,Ignatius Kpene Ganago,"ST, RW, LW",Ignatius Ganago,74,79,6500000,24000,22,2/16/1999,179,82,64,Racing Club de Lens,French Ligue 1,1,LS,9,,7/10/2020,2024,103,Cameroon,,LS,14,Right,3,3,1,High/Medium,Stocky (170-185),No,si,13500000,,Finesse Shot,82,74,58,75,34,68,62,76,65,66,60,76,59,40,54,75,81,83,78,67,79,79,68,69,76,69,48,45,75,48,66,70,39,17,14,9,10,8,8,13,,74+2,74+2,74+2,72,72,72,72,72,69+2,69+2,69+2,70+2,62+2,62+2,62+2,70+2,55+2,51+2,51+2,51+2,55+2,51+2,46+2,46+2,46+2,51+2,16+2,https://cdn.sofifa.net/players/241/130/22_120.png,https://cdn.sofifa.net/teams/64/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
107,164959,https://sofifa.com/player/164959/stephane-mbia/220002,S. M'Bia,St泰phane M'Bia Etoundi,"CB, CDM",Stephane Mbia,73,73,800000,5000,35,5/20/1986,187,87,110065,CF Fuenlabrada,Spanish Segunda Divisi�n,2,SUB,25,,8/31/2021,2022,103,Cameroon,,SUB,15,Right,3,2,2,Medium/High,Normal (185+),No,si,1300000,,Power Header,62,62,66,66,70,80,52,56,79,75,47,64,55,58,72,71,61,63,54,73,69,80,81,75,82,60,81,70,65,64,73,70,72,67,68,7,9,15,6,16,,68+2,68+2,68+2,64,67,67,67,64,67+2,67+2,67+2,66+2,69+2,69+2,69+2,66+2,68+2,72+1,72+1,72+1,68+2,68+2,73,73,73,68+2,17+2,https://cdn.sofifa.net/players/164/959/22_120.png,https://cdn.sofifa.net/teams/110065/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/cm.png
108,213868,https://sofifa.com/player/213868/jean-charles-castelletto/220002,J. Castelletto,Jean-Charles Castelletto,CB,Jean Charles Castelletto,73,75,3300000,19000,26,1/26/1995,185,76,71,FC Nantes,French Ligue 1,1,RCB,21,,7/1/2020,2023,103,Cameroon,,RCB,16,Right,2,2,1,Medium/Medium,Lean (185+),No,si,6800000,,,73,30,52,62,74,76,47,18,75,63,32,57,49,23,57,67,72,73,68,68,49,50,88,79,73,26,77,73,56,43,36,62,72,75,74,12,14,14,14,9,,54+2,54+2,54+2,55,55,55,55,55,55+2,55+2,55+2,58+2,59+2,59+2,59+2,58+2,68+2,69+2,69+2,69+2,68+2,70+2,73+2,73+2,73+2,70+2,18+2,https://cdn.sofifa.net/players/213/868/22_120.png,https://cdn.sofifa.net/teams/71/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/cm.png
109,236556,https://sofifa.com/player/236556/martin-hongla/220002,M. Hongla,Martin Hongla Yma,"CM, CDM, CB",Martin Hongla,73,81,6500000,15000,23,3/16/1998,181,77,206,Hellas Verona,Italian Serie A,1,SUB,78,Royal Antwerp FC,,2022,103,Cameroon,,SUB,17,Right,3,4,1,Medium/Medium,Lean (170-185),No,si,,,"Finesse Shot, Flair, Long Passer (AI), Speed Dribbler (AI), Playmaker (AI)",82,69,70,76,66,77,57,67,73,77,60,76,71,39,78,76,80,83,81,62,74,78,81,84,78,73,63,70,63,71,55,80,64,66,58,14,9,5,8,13,,72+2,72+2,72+2,72,72,72,72,72,73+2,73+2,73+2,73+2,73+2,73+2,73+2,73+2,70+2,71+2,71+2,71+2,70+2,69+2,69+2,69+2,69+2,69+2,16+2,https://cdn.sofifa.net/players/236/556/22_120.png,https://cdn.sofifa.net/teams/206/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/cm.png
110,236690,https://sofifa.com/player/236690/michael-ngadeu/220002,M. Ngadeu,Michael Ngadeu-Ngadjui,CB,Michael Ngadeu,73,73,2500000,17000,30,11/23/1990,190,93,674,KAA Gent,Belgian Jupiler Pro League,1,CB,5,,7/19/2019,2023,103,Cameroon,,CB,18,Right,5,2,1,Medium/High,Normal (185+),No,si,3800000,#Strength,Power Header,60,44,52,50,72,83,38,34,72,66,28,38,45,26,61,60,51,68,59,69,38,66,63,71,93,44,78,76,53,43,50,68,68,74,71,5,11,6,11,5,,56+2,56+2,56+2,51,53,53,53,51,53+2,53+2,53+2,53+2,59+2,59+2,59+2,53+2,64+2,69+2,69+2,69+2,64+2,66+2,73,73,73,66+2,15+2,https://cdn.sofifa.net/players/236/690/22_120.png,https://cdn.sofifa.net/teams/674/60.png,https://cdn.sofifa.net/flags/be.png,,https://cdn.sofifa.net/flags/cm.png
111,240190,https://sofifa.com/player/240190/kunde-malong/220002,K. Malong,Pierre Kunde Malong,"CM, CDM",Kunde Malong,73,76,4000000,1000,25,7/26/1995,180,79,280,Olympiacos CFP,Greek Super League,1,SUB,18,,6/25/2021,2024,103,Cameroon,,SUB,19,Right,4,3,1,Medium/High,Stocky (170-185),No,si,8700000,,"Long Passer (AI), Long Shot Taker (AI)",83,71,69,74,69,81,66,69,54,73,52,76,68,40,70,76,82,84,66,72,76,80,76,75,84,73,84,70,76,74,57,69,73,70,70,11,13,5,8,9,,73+2,73+2,73+2,74,75,75,75,74,74+2,74+2,74+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,72+2,72+2,17+2,https://cdn.sofifa.net/players/240/190/22_120.png,https://cdn.sofifa.net/teams/280/60.png,https://cdn.sofifa.net/flags/gr.png,,https://cdn.sofifa.net/flags/cm.png
112,244727,https://sofifa.com/player/244727/leandre-tawamba/220002,L. Tawamba,L泰andre Geal Tawamba Kana,ST,Leandre Tawamba,73,73,2600000,22000,31,12/20/1989,189,95,112393,Al Taawoun,Saudi Abdul L. Jameel League,1,ST,3,,10/15/2020,2022,103,Cameroon,,ST,20,Right,3,3,1,Medium/Low,Stocky (185+),No,si,4300000,#Strength,Power Header,65,73,54,68,24,81,35,77,75,66,70,68,50,35,45,73,59,69,63,68,38,73,80,80,91,66,55,16,74,66,71,76,26,15,14,14,13,12,12,14,,73,73,73,66,70,70,70,66,68+2,68+2,68+2,65+2,61+2,61+2,61+2,65+2,46+2,47+2,47+2,47+2,46+2,43+2,44+2,44+2,44+2,43+2,19+2,https://cdn.sofifa.net/players/244/727/22_120.png,https://cdn.sofifa.net/teams/112393/60.png,https://cdn.sofifa.net/flags/sa.png,,https://cdn.sofifa.net/flags/cm.png
113,208277,https://sofifa.com/player/208277/olivier-boumal/220002,O. Boumal,Olivier Junior Boumal,"RW, LW",Olivier Boumal,72,72,1900000,3000,31,9/17/1989,183,67,111398,Newcastle Jets,Australian Hyundai A-League,1,SUB,12,,8/18/2021,2022,103,Cameroon,,SUB,21,Left,3,3,1,High/Low,Normal (170-185),No,si,2400000,,Speed Dribbler (AI),85,66,68,72,44,67,73,64,46,69,63,72,66,67,63,71,86,85,80,63,76,70,67,75,65,68,62,38,70,68,61,58,56,38,39,14,10,7,16,11,,67+2,67+2,67+2,72,70,70,70,72,70+2,70+2,70+2,72,65+2,65+2,65+2,72,61+2,57+2,57+2,57+2,61+2,58+2,52+2,52+2,52+2,58+2,18+2,https://cdn.sofifa.net/players/208/277/22_120.png,https://cdn.sofifa.net/teams/111398/60.png,https://cdn.sofifa.net/flags/au.png,,https://cdn.sofifa.net/flags/cm.png
114,225456,https://sofifa.com/player/225456/joel-tagueu/220002,J. Tagueu,Diederrick Joel Tagueu Tadjo,"ST, LW",Joel Tagueu,72,73,2700000,9000,27,12/6/1993,178,70,1893,Clube Sport Mar�timo,Portuguese Liga ZON SAGRES,1,SUB,95,,8/7/2020,2022,103,Cameroon,,SUB,22,Left,3,3,1,Medium/Medium,Normal (170-185),No,si,5900000,,Power Header,70,70,58,70,29,70,59,74,80,65,67,70,47,40,51,72,70,70,67,69,72,74,86,71,70,59,65,31,71,57,72,68,20,23,21,14,12,16,9,14,,72+1,72+1,72+1,68,69,69,69,68,67+2,67+2,67+2,67+2,61+2,61+2,61+2,67+2,51+2,49+2,49+2,49+2,51+2,48+2,46+2,46+2,46+2,48+2,19+2,https://cdn.sofifa.net/players/225/456/22_120.png,https://cdn.sofifa.net/teams/1893/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/cm.png
115,231138,https://sofifa.com/player/231138/christian-bassogog/220002,C. Bassogog,Christian Mougang Bassogog,"ST, RM, RW",Christian Bassogog,72,73,2800000,12000,25,10/18/1995,173,72,110955,Shanghai Shenhua FC,Chinese Super League,1,LS,17,,2/26/2021,2021,103,Cameroon,,LS,23,Left,2,4,1,High/Medium,Normal (170-185),No,si,4600000,,Speed Dribbler (AI),86,69,59,74,38,73,47,70,62,62,65,73,74,70,60,72,88,85,84,73,90,74,80,81,76,60,54,25,74,56,65,63,45,33,35,7,7,8,10,8,,72+1,72+1,72+1,70,71,71,71,70,69+2,69+2,69+2,69+2,63+2,63+2,63+2,69+2,56+2,53+2,53+2,53+2,56+2,54+2,50+2,50+2,50+2,54+2,15+2,https://cdn.sofifa.net/players/231/138/22_120.png,https://cdn.sofifa.net/teams/110955/60.png,https://cdn.sofifa.net/flags/cn.png,,https://cdn.sofifa.net/flags/cm.png
